Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,0.040783,0.042561,0.038578,0.041169,0.041169,18
2021-05-07,0.041182,0.041647,0.038251,0.038995,0.038995,8
2021-05-08,0.039002,0.040418,0.034529,0.034672,0.034672,138
2021-05-09,0.034694,0.040430,0.034175,0.040171,0.040171,23
2021-05-10,0.040180,0.041068,0.037309,0.038519,0.038519,1
2021-05-11,0.038543,0.038906,0.036823,0.037431,0.037431,0
2021-05-12,0.037425,0.038240,0.032945,0.032945,0.032945,0
2021-05-13,0.032439,0.033878,0.031007,0.032821,0.032821,2
2021-05-14,0.032813,0.034103,0.032253,0.032418,0.032418,3
2021-05-15,0.032422,0.032677,0.028932,0.029011,0.029011,0
2021-05-16,0.028991,0.030826,0.027257,0.028817,0.028817,10
2021-05-17,0.028803,0.028907,0.026169,0.026890,0.026890,0
2021-05-18,0.026993,0.029387,0.026682,0.028806,0.028806,11
2021-05-19,0.028749,0.029176,0.016261,0.022294,0.022294,17
2021-05-20,0.022201,0.043677,0.021030,0.041853,0.041853,533
2021-05-21,0.042006,0.043437,0.030637,0.034693,0.034693,88
2021-05-22,0.034755,0.035443,0.020145,0.021396,0.021396,35
2021-05-23,0.021393,0.021825,0.017175,0.019124,0.019124,1
2021-05-24,0.019085,0.021260,0.018638,0.019353,0.019353,104
2021-05-25,0.019398,0.019888,0.018291,0.019155,0.019155,0
2021-05-26,0.019201,0.020391,0.018953,0.019660,0.019660,0
2021-05-27,0.019647,0.023356,0.019125,0.021523,0.021523,13
2021-05-28,0.021525,0.021760,0.018525,0.019972,0.019972,0
2021-05-29,0.019991,0.023093,0.019082,0.022825,0.022825,0
2021-05-30,0.022847,0.023629,0.019109,0.019970,0.019970,0
2021-05-31,0.019969,0.020978,0.019026,0.020523,0.020523,3
2021-06-01,0.020533,0.020974,0.019683,0.020900,0.020900,13
2021-06-02,0.020910,0.021517,0.019450,0.019556,0.019556,140
2021-06-03,0.019539,0.021713,0.018250,0.021152,0.021152,146
2021-06-04,0.021173,0.021191,0.018930,0.019563,0.019563,0
2021-06-05,0.019554,0.020096,0.015356,0.015641,0.015641,25
2021-06-06,0.015643,0.019311,0.015594,0.019003,0.019003,26
2021-06-07,0.019007,0.019499,0.016406,0.016476,0.016476,4
2021-06-08,0.016445,0.016669,0.014002,0.015065,0.015065,139
2021-06-09,0.015063,0.016892,0.014614,0.016781,0.016781,0
2021-06-10,0.016805,0.017250,0.016131,0.016513,0.016513,0
2021-06-11,0.016516,0.017983,0.016220,0.017892,0.017892,1
2021-06-12,0.017921,0.017956,0.016670,0.017044,0.017044,0
2021-06-13,0.017065,0.018875,0.016558,0.018765,0.018765,0
2021-06-14,0.018767,0.021357,0.014945,0.019198,0.019198,1
2021-06-15,0.014937,0.019461,0.014903,0.015361,0.015361,205
2021-06-16,0.018879,0.019043,0.017943,0.018019,0.018019,0
2021-06-17,0.018023,0.018358,0.014629,0.016363,0.016363,7
2021-06-18,0.016363,0.016421,0.013750,0.013957,0.013957,0
2021-06-19,0.013983,0.014219,0.013624,0.013890,0.013890,0
2021-06-20,0.013870,0.016754,0.013558,0.016064,0.016064,29
2021-06-21,0.016064,0.016075,0.014083,0.014255,0.014255,1
2021-06-22,0.014255,0.015647,0.013580,0.015278,0.015278,0
2021-06-23,0.015278,0.016334,0.014933,0.015865,0.015865,0
2021-06-24,0.015817,0.015887,0.012966,0.013873,0.013873,0
2021-06-25,0.013865,0.023589,0.013727,0.018041,0.018041,78
2021-06-26,0.018034,0.018318,0.013281,0.014124,0.014124,4
2021-06-27,0.014162,0.015249,0.014112,0.015225,0.015225,0
2021-06-28,0.015246,0.016778,0.014917,0.016538,0.016538,6
2021-06-29,0.016528,0.019783,0.014470,0.015089,0.015089,143
2021-06-30,0.015064,0.015151,0.013100,0.014013,0.014013,147
2021-07-01,0.014016,0.015461,0.012913,0.013079,0.013079,80
2021-07-02,0.013093,0.015837,0.012796,0.013899,0.013899,31
2021-07-03,0.013880,0.014313,0.013695,0.014215,0.014215,0
2021-07-04,0.014213,0.017609,0.014103,0.017287,0.017287,0
2021-07-05,0.017289,0.017289,0.016275,0.016573,0.016573,0
2021-07-06,0.016536,0.017169,0.014112,0.016075,0.016075,0
2021-07-07,0.016091,0.016449,0.013772,0.015566,0.015566,1
2021-07-08,0.015573,0.015598,0.014311,0.014452,0.014452,0
2021-07-09,0.014466,0.014979,0.014035,0.014900,0.014900,0
2021-07-10,0.014871,0.015052,0.014571,0.014743,0.014743,0
2021-07-11,0.014749,0.015500,0.013524,0.015406,0.015406,7
2021-07-12,0.015408,0.015566,0.014714,0.014921,0.014921,0
2021-07-13,0.014920,0.014997,0.013227,0.013405,0.013405,0
2021-07-14,0.013408,0.013434,0.006973,0.010175,0.010175,111
2021-07-15,0.010175,0.012385,0.009788,0.010488,0.010488,32
2021-07-16,0.010508,0.012785,0.008839,0.009743,0.009743,11
2021-07-17,0.009733,0.012120,0.009681,0.011983,0.011983,2
2021-07-18,0.011983,0.012312,0.010117,0.011447,0.011447,0
2021-07-19,0.011448,0.012527,0.009677,0.012327,0.012327,11
2021-07-20,0.012335,0.012402,0.011451,0.011627,0.011627,0
2021-07-21,0.011625,0.012773,0.011515,0.012522,0.012522,0
2021-07-22,0.012523,0.012620,0.012063,0.012282,0.012282,0
2021-07-23,0.012279,0.012753,0.012182,0.012753,0.012753,0
2021-07-24,0.012761,0.014401,0.012701,0.014395,0.014395,19
2021-07-25,0.014403,0.014613,0.014132,0.014494,0.014494,9
2021-07-26,0.014494,0.017010,0.014468,0.015697,0.015697,0
